state,pc_name,candidate,sex,age,category,party,party_symbol,general_votes,postal_votes,total_votes,total_electors
Andhra Pradesh,Araku,Kishore Chandra Deo,MALE,72,ST,TDP,Bicycle,336163,1938,338101,1451418
Andhra Pradesh,Araku,Dr. Kosuri Kasi Viswanadha Veera Venkata Satyanarayana Reddy,MALE,54,ST,BJP,Lotus,17578,289,17867,1451418
Andhra Pradesh,Araku,Goddeti. Madhavi,FEMALE,26,ST,YSRCP,Ceiling Fan,557561,4629,562190,1451418
Andhra Pradesh,Araku,Shruti Devi Vyricherla,FEMALE,46,ST,INC,Hand,17656,74,17730,1451418
Andhra Pradesh,Araku,Gangulaiah Vampuru.,MALE,49,ST,JnP,Glass Tumbler,42245,549,42794,1451418
Andhra Pradesh,Araku,Swamula. Subrahmanyam,MALE,50,ST,JAJGP,Mike,4705,5,4710,1451418
Andhra Pradesh,Araku,Anumula Vamsikrishna,MALE,41,ST,IND,Helicopter,10211,29,10240,1451418
Andhra Pradesh,Araku,Kangala Baludora,MALE,61,ST,IND,Cup & Saucer,13810,16,13826,1451418
Andhra Pradesh,Araku,Narava Satyavathi,FEMALE,37,ST,IND,Bangles,11231,5,11236,1451418
Andhra Pradesh,Araku,Biddika Ramayya.,MALE,57,ST,IND,Battery Torch,7863,4,7867,1451418
Andhra Pradesh,Araku,Nota,NULL,NULL,NULL,NOTA,NULL,47955,22,47977,1451418
Andhra Pradesh,Srikakulam,Kinjarapu Ram Mohan Naidu,MALE,32,GENERAL,TDP,Bicycle,529213,5331,534544,1553860
Andhra Pradesh,Srikakulam,Dola Jagan,MALE,53,GENERAL,INC,Hand,13456,289,13745,1553860
Andhra Pradesh,Srikakulam,Duvvada Srinivas,MALE,52,GENERAL,YSRCP,Ceiling Fan,520931,6960,527891,1553860
Andhra Pradesh,Srikakulam,Perla Samba Murthy,MALE,58,GENERAL,BJP,Lotus,7357,1033,8390,1553860
Andhra Pradesh,Srikakulam,Matta Satish Chakravarthy,MALE,37,GENERAL,PPOI,FLUTE,1441,7,1448,1553860
Andhra Pradesh,Srikakulam,Metta Ramarao,MALE,53,GENERAL,JnP,Glass Tumbler,31319,637,31956,1553860
Andhra Pradesh,Srikakulam,Namballa Krishna Mohan,MALE,44,GENERAL,IND,Electric Pole,4829,7,4836,1553860
Andhra Pradesh,Srikakulam,Naidugari Rajasekhar,MALE,35,GENERAL,IND,Helicopter,5151,5,5156,1553860
Andhra Pradesh,Srikakulam,Betha Vivekananda Maharaj,MALE,33,GENERAL,IND,Football,3814,4,3818,1553860
Andhra Pradesh,Srikakulam,Nota,NULL,NULL,NULL,NOTA,NULL,25500,45,25545,1553860
Andhra Pradesh,Vizianagaram,Ashok Gajapathi Raju Pusapati,MALE,67,GENERAL,TDP,Bicycle,527307,3075,530382,1503980
Andhra Pradesh,Vizianagaram,Adiraju Yedla,MALE,52,GENERAL,INC,Hand,15607,118,15725,1503980
Andhra Pradesh,Vizianagaram,Bellana Chandra Sekhar,MALE,57,GENERAL,YSRCP,Ceiling Fan,573466,4952,578418,1503980
Andhra Pradesh,Vizianagaram,Sanyasi Raju Pakalapati,MALE,60,GENERAL,BJP,Lotus,6902,364,7266,1503980
Andhra Pradesh,Vizianagaram,P.v.a. Ananda Sagar,MALE,55,GENERAL,SAPRP,Electric Pole,4981,2,4983,1503980
Andhra Pradesh,Vizianagaram,Chiranjeevi Lingala,MALE,28,GENERAL,ACP,Tooth Brush,1261,2,1263,1503980
Andhra Pradesh,Vizianagaram,Mukka Srinivas Rao,MALE,39,GENERAL,JnP,Glass Tumbler,33779,413,34192,1503980
Andhra Pradesh,Vizianagaram,Lagudu. Govinda Rao,MALE,39,GENERAL,JAJGP,Mike,787,4,791,1503980
Andhra Pradesh,Vizianagaram,Surya Bhavani. K,FEMALE,38,GENERAL,PPOI,FLUTE,822,8,830,1503980
Andhra Pradesh,Vizianagaram,Yella Rao Siyyadula,MALE,37,SC,IND,Gas Cylinder,1010,0,1010,1503980
Andhra Pradesh,Vizianagaram,Dhanalakoti Ramana,MALE,29,GENERAL,IND,Matchbox,1172,4,1176,1503980
Andhra Pradesh,Vizianagaram,Pentapati Rajesh,MALE,39,GENERAL,IND,Battery Torch,1461,1,1462,1503980
Andhra Pradesh,Vizianagaram,Ijjurouthu Ramunaidu,MALE,47,GENERAL,IND,Coat,4550,3,4553,1503980
Andhra Pradesh,Vizianagaram,Venkata Trindha Rao Veluri,MALE,52,GENERAL,IND,Sitar,6336,2,6338,1503980
Andhra Pradesh,Vizianagaram,Nota,NULL,NULL,NULL,NOTA,NULL,29468,33,29501,1503980
Andhra Pradesh,Visakhapatnam,Daggubati Purandeswari,FEMALE,58,GENERAL,BJP,Lotus,33430,462,33892,1829300
Andhra Pradesh,Visakhapatnam,Pedada. Ramanikumari,FEMALE,48,GENERAL,INC,Hand,14550,83,14633,1829300
Andhra Pradesh,Visakhapatnam,Bharat Mathukumilli,MALE,29,GENERAL,TDP,Bicycle,431093,1399,432492,1829300
Andhra Pradesh,Visakhapatnam,M V V Satyanarayana,MALE,52,GENERAL,YSRCP,Ceiling Fan,433968,2938,436906,1829300
Andhra Pradesh,Visakhapatnam,George Bangari,MALE,46,SC,VCK,Stool,3027,1,3028,1829300
Andhra Pradesh,Visakhapatnam,B. Jaya Venu Gopal,MALE,30,GENERAL,PPOI,FLUTE,1622,5,1627,1829300
Andhra Pradesh,Visakhapatnam,V.v. Lakshmi Narayana,MALE,53,GENERAL,JnP,Glass Tumbler,287072,1802,288874,1829300
Andhra Pradesh,Visakhapatnam,Anmish Varma,MALE,26,GENERAL,IND,Bat,1904,11,1915,1829300
Andhra Pradesh,Visakhapatnam,R. Udaya Gowri,FEMALE,44,GENERAL,IND,DIAMOND,1384,0,1384,1829300
Andhra Pradesh,Visakhapatnam,Kothapalli Geetha,FEMALE,48,GENERAL,IND,Mike,1155,3,1158,1829300
Andhra Pradesh,Visakhapatnam,Gampala Somasundaram,MALE,76,GENERAL,IND,COCONUT FARM,1127,1,1128,1829300
Andhra Pradesh,Visakhapatnam,Gannu Mallayya,MALE,70,GENERAL,IND,Ganna Kisan,1311,2,1313,1829300
Andhra Pradesh,Visakhapatnam,Durgaprasad. Guntu,MALE,51,GENERAL,IND,Letter Box,2463,1,2464,1829300
Andhra Pradesh,Visakhapatnam,Pulapaka Raja Sekhar,MALE,40,GENERAL,IND,Gas Cylinder,2294,0,2294,1829300
Andhra Pradesh,Visakhapatnam,Nota,NULL,NULL,NULL,NOTA,NULL,16626,20,16646,1829300
Andhra Pradesh,Anakapalli,Adari Anand Kumar,MALE,43,GENERAL,TDP,Bicycle,495381,1653,497034,1521363
Andhra Pradesh,Anakapalli,Dr. Gandi Venkata Satyanarayana Rao (dr Vikram),MALE,65,GENERAL,BJP,Lotus,12888,388,13276,1521363
Andhra Pradesh,Anakapalli,Dr.beesetti Venkata Satyavathi,FEMALE,52,GENERAL,YSRCP,Ceiling Fan,583210,3016,586226,1521363
Andhra Pradesh,Anakapalli,Ruthala Srirama Murthy,MALE,49,GENERAL,INC,Hand,10072,49,10121,1521363
Andhra Pradesh,Anakapalli,P.s.ajay Kumar,MALE,57,GENERAL,CPI(ML)(L),Flag with Three Stars,2708,8,2716,1521363
Andhra Pradesh,Anakapalli,K B Swaroop,MALE,51,GENERAL,JAJGP,Mike,1615,6,1621,1521363
Andhra Pradesh,Anakapalli,Chintala Partha Sarathi,MALE,56,GENERAL,JnP,Glass Tumbler,82126,462,82588,1521363
Andhra Pradesh,Anakapalli,Taadi Veera Jagadeeshwari,FEMALE,65,GENERAL,PPOI,FLUTE,1801,2,1803,1521363
Andhra Pradesh,Anakapalli,Vadlamuri Krishna Swaroop,MALE,46,SC,DABAP,Cup & Saucer,4443,1,4444,1521363
Andhra Pradesh,Anakapalli,Appala Naidu Tummagunta,MALE,37,GENERAL,IND,Laptop,3760,5,3765,1521363
Andhra Pradesh,Anakapalli,Nota,NULL,NULL,NULL,NOTA,NULL,34877,20,34897,1521363
Andhra Pradesh,Kakinada,Chalamalasetty Sunil,MALE,49,GENERAL,TDP,Bicycle,508361,3531,511892,1563930
Andhra Pradesh,Kakinada,Mallipudi Sri Ramachandra Murthy (rambabu),MALE,66,GENERAL,INC,Hand,8601,39,8640,1563930
Andhra Pradesh,Kakinada,Yalla Venkata Rama Mohan Rao (dorababu),MALE,46,GENERAL,BJP,Lotus,9456,140,9596,1563930
Andhra Pradesh,Kakinada,Vanga Geethaviswanath,FEMALE,55,GENERAL,YSRCP,Ceiling Fan,534655,2975,537630,1563930
Andhra Pradesh,Kakinada,Appalakonda Vangalapudi,MALE,28,SC,MPP,Telephone,2997,0,2997,1563930
Andhra Pradesh,Kakinada,B. Geetha,FEMALE,34,GENERAL,PRSHP,Helicopter,1687,1,1688,1563930
Andhra Pradesh,Kakinada,Godugu Satyanarayana,MALE,40,SC,CPI(ML)(L),Flag with Three Stars,1723,1,1724,1563930
Andhra Pradesh,Kakinada,Jyothula Venkateswara Rao,MALE,62,GENERAL,JnP,Glass Tumbler,132124,524,132648,1563930
Andhra Pradesh,Kakinada,Donam Neelakantam,MALE,49,SC,AINPP,Boat with Man and Sail,980,0,980,1563930
Andhra Pradesh,Kakinada,Peddimsetti. Venkateswararao,MALE,46,GENERAL,JAJGP,Mike,812,3,815,1563930
Andhra Pradesh,Kakinada,Vasamsetty Venkataramana,MALE,56,GENERAL,AIFB,Lion,1012,2,1014,1563930
Andhra Pradesh,Kakinada,Sathi Veeralakshmi,FEMALE,38,GENERAL,PPOI,FLUTE,1117,2,1119,1563930
Andhra Pradesh,Kakinada,Ankadi Sathibabu,MALE,45,GENERAL,IND,Basket containing Fruits,1381,0,1381,1563930
Andhra Pradesh,Kakinada,Kakileti Ravindra,MALE,41,SC,IND,Electric Pole,3325,2,3327,1563930
Andhra Pradesh,Kakinada,Medisetti Vijaya Kumar,MALE,53,GENERAL,IND,COCONUT FARM,2051,0,2051,1563930
Andhra Pradesh,Kakinada,Nota,NULL,NULL,NULL,NOTA,NULL,17117,36,17153,1563930
Andhra Pradesh,Amalapuram,Ayyaji Vema Manepalli,MALE,58,SC,BJP,Lotus,11376,158,11534,1459556
Andhra Pradesh,Amalapuram,Ganti Harish Madhur (balayogi),MALE,28,SC,TDP,Bicycle,443590,2573,446163,1459556
Andhra Pradesh,Amalapuram,Chinta Anuradha,FEMALE,46,SC,YSRCP,Ceiling Fan,482003,3955,485958,1459556
Andhra Pradesh,Amalapuram,Janga Goutham,MALE,49,SC,INC,Hand,7849,38,7887,1459556
Andhra Pradesh,Amalapuram,Chelle Rajani,MALE,30,SC,JAJGP,Mike,1231,0,1231,1459556
Andhra Pradesh,Amalapuram,Panthagada Vijaya Chakravarthy,MALE,65,SC,RPI(KH),Gas Cylinder,1804,0,1804,1459556
Andhra Pradesh,Amalapuram,Muralikrishna Kanderi,MALE,41,SC,IPBP,Trumpet,1803,1,1804,1459556
Andhra Pradesh,Amalapuram,Mortha Siva Rama Krishna,MALE,29,SC,PPOI,FLUTE,1950,4,1954,1459556
Andhra Pradesh,Amalapuram,D M R Sekhar,MALE,59,SC,JnP,Glass Tumbler,253740,1577,255317,1459556
Andhra Pradesh,Amalapuram,Revu Sudhakar,MALE,34,SC,IND,Gas Stove,2774,1,2775,1459556
Andhra Pradesh,Amalapuram,Nota,NULL,NULL,NULL,NOTA,NULL,16427,41,16468,1459556
Andhra Pradesh,Rajahmundry,Nalluri Vijaya Srinivasa Rao,MALE,55,GENERAL,INC,Hand,12678,47,12725,1534256
Andhra Pradesh,Rajahmundry,Paravastu Satya Gopinath Das,MALE,47,GENERAL,BJP,Lotus,12165,169,12334,1534256
Andhra Pradesh,Rajahmundry,Maganti Roopa,FEMALE,45,GENERAL,TDP,Bicycle,459100,1290,460390,1534256
Andhra Pradesh,Rajahmundry,Margani Bharat,MALE,36,GENERAL,YSRCP,Ceiling Fan,578471,3553,582024,1534256
Andhra Pradesh,Rajahmundry,Akula Satyanarayana,MALE,55,GENERAL,JnP,Glass Tumbler,155164,643,155807,1534256
Andhra Pradesh,Rajahmundry,Geddam David Nelson Babu,MALE,60,GENERAL,APoI,Coat,1752,5,1757,1534256
Andhra Pradesh,Rajahmundry,Bandaru Rajeswara Rao,MALE,59,GENERAL,JAJGP,Mike,1034,1,1035,1534256
Andhra Pradesh,Rajahmundry,Meda Srinivas,MALE,50,GENERAL,RPC(S),Ring,994,2,996,1534256
Andhra Pradesh,Rajahmundry,Sangisetti Srinivasa Rao,MALE,50,GENERAL,PPOI,FLUTE,1156,5,1161,1534256
Andhra Pradesh,Rajahmundry,Kuruvella Bhanuchandar,MALE,33,SC,IND,Air Conditioner,1242,0,1242,1534256
Andhra Pradesh,Rajahmundry,Kollapu Venu,MALE,41,SC,IND,Electric Pole,2868,1,2869,1534256
Andhra Pradesh,Rajahmundry,Nota,NULL,NULL,NULL,NOTA,NULL,18064,23,18087,1534256
Andhra Pradesh,Narsapuram,Kanumuru Bapiraju,MALE,71,GENERAL,INC,Hand,13809,132,13941,1439691
Andhra Pradesh,Narsapuram,Kanumuru Raghu Rama Krishna Raju,MALE,57,GENERAL,YSRCP,Ceiling Fan,444376,4858,449234,1439691
Andhra Pradesh,Narsapuram,Pydikondala Manikyala Rao,MALE,59,GENERAL,BJP,Lotus,12154,260,12414,1439691
Andhra Pradesh,Narsapuram,V.v. Siva Rama Raju (kalavapudi Siva),MALE,48,GENERAL,TDP,Bicycle,414547,2011,416558,1439691
Andhra Pradesh,Narsapuram,Yella Venu Gopal Rao,MALE,63,GENERAL,NVSP,Gas Cylinder,4284,2,4286,1439691
Andhra Pradesh,Narsapuram,Ganji Purnima,FEMALE,36,GENERAL,RPI(A),Apple,867,2,869,1439691
Andhra Pradesh,Narsapuram,Gurugubilli Rambabu,MALE,52,GENERAL,MCPI,COMPUTER,583,0,583,1439691
Andhra Pradesh,Narsapuram,G S Raju,MALE,51,GENERAL,SP,Tractor Chalata Kisan,3468,3,3471,1439691
Andhra Pradesh,Narsapuram,Dasari Krishna Murthy,MALE,32,GENERAL,IPBP,Trumpet,1603,0,1603,1439691
Andhra Pradesh,Narsapuram,Nallam Surya Chandra Rao,MALE,59,GENERAL,PPOI,FLUTE,2201,9,2210,1439691
Andhra Pradesh,Narsapuram,Nagababu Konidela,MALE,58,GENERAL,JnP,Glass Tumbler,249188,1614,250802,1439691
Andhra Pradesh,Narsapuram,K.a.paul,MALE,55,GENERAL,PRSHP,Helicopter,3027,19,3046,1439691
Andhra Pradesh,Narsapuram,Gottumukkala Shivaji,MALE,48,SC,IND,T.V. Remote,1275,0,1275,1439691
Andhra Pradesh,Narsapuram,Nalli Rajesh,MALE,36,SC,IND,Electric Pole,2651,2,2653,1439691
Andhra Pradesh,Narsapuram,Medapati Varahala Reddy,MALE,44,GENERAL,IND,Road Roller,2681,3,2684,1439691
Andhra Pradesh,Narsapuram,Nota,NULL,NULL,NULL,NOTA,NULL,12074,35,12109,1439691
Andhra Pradesh,Eluru,Kotagiri Sridhar,MALE,46,GENERAL,YSRCP,Ceiling Fan,672834,3975,676809,1594950
Andhra Pradesh,Eluru,Chinnam Rama Kotayya,MALE,58,GENERAL,BJP,Lotus,8317,95,8412,1594950
Andhra Pradesh,Eluru,Jetti Gurunadha Rao,MALE,55,GENERAL,INC,Hand,20284,94,20378,1594950
Andhra Pradesh,Eluru,Magantti Venkateswara Rao Babu,MALE,59,GENERAL,TDP,Bicycle,509549,1335,510884,1594950
Andhra Pradesh,Eluru,China Venkata Suryanarayana Josyula,MALE,62,GENERAL,PPOI,FLUTE,2932,3,2935,1594950
Andhra Pradesh,Eluru,Pentapati Pullarao,MALE,71,GENERAL,JnP,Glass Tumbler,76481,346,76827,1594950
Andhra Pradesh,Eluru,Mathe. Bobby,MALE,29,SC,RPI(A),Sewing Machine,1871,8,1879,1594950
Andhra Pradesh,Eluru,V. Siva Rama Krishna,MALE,55,GENERAL,JAJGP,Mike,1261,0,1261,1594950
Andhra Pradesh,Eluru,Alaga. Ravi Kumar,MALE,49,SC,IND,Apple,1648,0,1648,1594950
Andhra Pradesh,Eluru,Dr.mendem. Santhosh Kumar(peddababu),MALE,46,SC,IND,Helmet,3010,0,3010,1594950
Andhra Pradesh,Eluru,Nota,NULL,NULL,NULL,NOTA,NULL,23861,19,23880,1594950
Andhra Pradesh,Machilipatnam,Konakalla Narayana Rao,MALE,68,GENERAL,TDP,Bicycle,509887,2725,512612,1473347
Andhra Pradesh,Machilipatnam,Gudivaka Ramanjaneyulu (anji Babu),MALE,35,GENERAL,BJP,Lotus,6374,107,6481,1473347
Andhra Pradesh,Machilipatnam,Gollu Krishna,MALE,55,GENERAL,INC,Hand,12233,77,12310,1473347
Andhra Pradesh,Machilipatnam,Balashowry Vallabhaneni,MALE,50,GENERAL,YSRCP,Ceiling Fan,567592,5258,572850,1473347
Andhra Pradesh,Machilipatnam,Peram Siva Nageswara Rao,MALE,51,GENERAL,RPI(A),Gas Stove,3625,2,3627,1473347
Andhra Pradesh,Machilipatnam,Bandreddi Ramakrishna,MALE,44,GENERAL,JnP,Glass Tumbler,112566,876,113442,1473347
Andhra Pradesh,Machilipatnam,Yarlagadda Rama Mohana Rao,MALE,56,GENERAL,BAHUMP,Whistle,1016,1,1017,1473347
Andhra Pradesh,Machilipatnam,Valluru Venkateswara Rao,MALE,66,GENERAL,PPOI,FLUTE,824,2,826,1473347
Andhra Pradesh,Machilipatnam,Gandhi Dhanekula,MALE,70,GENERAL,IND,Almirah,846,0,846,1473347
Andhra Pradesh,Machilipatnam,Nadakuditi Naga Gayathri,FEMALE,38,GENERAL,IND,Ganna Kisan,772,2,774,1473347
Andhra Pradesh,Machilipatnam,G. V. N. Basava Rao,MALE,26,GENERAL,IND,Bat,894,1,895,1473347
Andhra Pradesh,Machilipatnam,Vijaya Lakshmi Chalapaka,FEMALE,39,GENERAL,IND,Tractor Chalata Kisan,4776,13,4789,1473347
Andhra Pradesh,Machilipatnam,Nota,NULL,NULL,NULL,NOTA,NULL,14067,34,14101,1473347
Andhra Pradesh,Vijayawada,Kilaru Dileep,MALE,48,GENERAL,BJP,Lotus,18411,93,18504,1652994
Andhra Pradesh,Vijayawada,Kesineni Srinivas (nani),MALE,53,GENERAL,TDP,Bicycle,573929,1569,575498,1652994
Andhra Pradesh,Vijayawada,Naraharisetty. Narasimharao.,MALE,58,GENERAL,INC,Hand,16204,57,16261,1652994
Andhra Pradesh,Vijayawada,Potluri.v.prasad ( P V P ),MALE,48,GENERAL,YSRCP,Ceiling Fan,564174,2598,566772,1652994
Andhra Pradesh,Vijayawada,Andukuri Vijaya Bhaskar,MALE,49,SC,IPBP,Trumpet,2457,0,2457,1652994
Andhra Pradesh,Vijayawada,Datla Lurdu Mary,FEMALE,43,SC,MPP,Telephone,433,1,434,1652994
Andhra Pradesh,Vijayawada,Padala Siva Prasad,MALE,62,GENERAL,NRCP,Scissors,480,0,480,1652994
Andhra Pradesh,Vijayawada,Muttamsetty Prasad Babu,MALE,66,GENERAL,JnP,Glass Tumbler,81416,234,81650,1652994
Andhra Pradesh,Vijayawada,Sekhar,MALE,31,GENERAL,PPOI,FLUTE,683,2,685,1652994
Andhra Pradesh,Vijayawada,Sk. Riyaz,MALE,31,GENERAL,IUML,Ladder,412,0,412,1652994
Andhra Pradesh,Vijayawada,Anil Kumar Maddineni,MALE,39,GENERAL,IND,Chappals,1049,0,1049,1652994
Andhra Pradesh,Vijayawada,Dhanekula Gandhi,MALE,70,GENERAL,IND,Whistle,687,1,688,1652994
Andhra Pradesh,Vijayawada,Nandini Nallaghatla,FEMALE,43,GENERAL,IND,Bat,951,2,953,1652994
Andhra Pradesh,Vijayawada,Bolisetty Hari Babu,MALE,60,GENERAL,IND,Helicopter,1739,0,1739,1652994
Andhra Pradesh,Vijayawada,Mohammad Ishaq,MALE,47,GENERAL,IND,Battery Torch,1218,0,1218,1652994
Andhra Pradesh,Vijayawada,Nota,NULL,NULL,NULL,NOTA,NULL,8889,22,8911,1652994
Andhra Pradesh,Guntur,Jayadev Galla,MALE,53,GENERAL,TDP,Bicycle,586292,1626,587918,1706119
Andhra Pradesh,Guntur,Jayaprakash Narayana Valluru,MALE,44,GENERAL,BJP,Lotus,11667,174,11841,1706119
Andhra Pradesh,Guntur,Modugula Venugopala Reddy,MALE,52,GENERAL,YSRCP,Ceiling Fan,580840,2873,583713,1706119
Andhra Pradesh,Guntur,Shaik Mastanvali,MALE,53,GENERAL,INC,Hand,14124,81,14205,1706119
Andhra Pradesh,Guntur,Araveti Hazarath Rao,MALE,68,GENERAL,PPOI,FLUTE,808,2,810,1706119
Andhra Pradesh,Guntur,Ullagi David Jayakumar (dr. D J Kumar),MALE,61,GENERAL,HMRD,Gift Pack,447,0,447,1706119
Andhra Pradesh,Guntur,Jeldi Raja Mohan,MALE,61,SC,AINPP,Boat with Man and Sail,437,0,437,1706119
Andhra Pradesh,Guntur,Nagaraju Ekula,MALE,42,SC,RPI(A),Laptop,920,0,920,1706119
Andhra Pradesh,Guntur,Bonaboyina Srinivasa Rao (bonaboyina Srinivasa Yadav),MALE,50,GENERAL,JnP,Glass Tumbler,128746,459,129205,1706119
Andhra Pradesh,Guntur,Mannava Hariprasad,MALE,55,GENERAL,CPIM,Tractor Chalata Kisan,3212,4,3216,1706119
Andhra Pradesh,Guntur,Ramarao Simhadri,MALE,41,GENERAL,PRSHP,Helicopter,1744,2,1746,1706119
Andhra Pradesh,Guntur,N. J. Vidyasagar,MALE,51,SC,VCK,Stool,639,2,641,1706119
Andhra Pradesh,Guntur,Sarabandi Raju Sikhinam,MALE,35,SC,ILP(AP),BUCKET,1015,2,1017,1706119
