state,pc_name,candidate,sex,age,category,party,party_symbol,general_votes,postal_votes,total_votes,total_electors
Andhra Pradesh,Guntur,Shaik Jaleel,MALE,43,GENERAL,NRCP,Scissors,560,3,563,1706119
Andhra Pradesh,Guntur,Samudrala Chinna Kotaiah,MALE,41,SC,NDDHP,Battery Torch,628,0,628,1706119
Andhra Pradesh,Guntur,Umar Basha Shaik,MALE,29,GENERAL,IND,Almirah,2676,0,2676,1706119
Andhra Pradesh,Guntur,Dasari Kiran Babu,MALE,37,SC,IND,Whistle,2907,2,2909,1706119
Andhra Pradesh,Guntur,Doppalapudi Veera Das,MALE,60,SC,IND,Gas Cylinder,629,0,629,1706119
Andhra Pradesh,Guntur,Y. V. Suresh,MALE,50,GENERAL,IND,Baby Walker,1947,0,1947,1706119
Andhra Pradesh,Guntur,Nota,NULL,NULL,NULL,NOTA,NULL,5972,34,6006,1706119
Andhra Pradesh,Narasaraopet,Kanna Lakshmi Narayana,MALE,64,GENERAL,BJP,Lotus,15255,231,15486,1670391
Andhra Pradesh,Narasaraopet,Pakkala Suribabu,MALE,60,GENERAL,INC,Hand,10977,56,11033,1670391
Andhra Pradesh,Narasaraopet,Rayapati Sambasivarao,MALE,75,GENERAL,TDP,Bicycle,589344,2211,591555,1670391
Andhra Pradesh,Narasaraopet,Lavu Sri Krishna Devarayalu,MALE,35,GENERAL,YSRCP,Ceiling Fan,740509,5048,745557,1670391
Andhra Pradesh,Narasaraopet,Allu Venkatareddy,MALE,49,GENERAL,PPOI,FLUTE,2890,4,2894,1670391
Andhra Pradesh,Narasaraopet,Kanakam Srinivasarao,MALE,40,GENERAL,NNKP,Plastering Trowel,883,4,887,1670391
Andhra Pradesh,Narasaraopet,Nayub Kamal Shaik,MALE,52,GENERAL,JnP,Glass Tumbler,50713,295,51008,1670391
Andhra Pradesh,Narasaraopet,Surabhi Devasahayam,MALE,46,SC,IUML,Ladder,418,0,418,1670391
Andhra Pradesh,Narasaraopet,Kante Sayanna,MALE,40,GENERAL,IND,Apple,364,1,365,1670391
Andhra Pradesh,Narasaraopet,Gaddala Venu,MALE,28,SC,IND,Laptop,619,3,622,1670391
Andhra Pradesh,Narasaraopet,Durgampudi Ramireddy,MALE,66,GENERAL,IND,Helicopter,2684,1,2685,1670391
Andhra Pradesh,Narasaraopet,Parimi Narasimha Rao,MALE,32,GENERAL,IND,Bat,998,2,1000,1670391
Andhra Pradesh,Narasaraopet,Reddyboina Prasanna Kumar,MALE,50,SC,IND,Air Conditioner,1382,1,1383,1670391
Andhra Pradesh,Narasaraopet,Nota,NULL,NULL,NULL,NOTA,NULL,12489,38,12527,1670391
Andhra Pradesh,Bapatla,Challagali Kishore Kumar,MALE,43,SC,BJP,Lotus,9842,509,10351,1468671
Andhra Pradesh,Bapatla,K. Devanand,MALE,64,SC,BSP,Elephant,42262,318,42580,1468671
Andhra Pradesh,Bapatla,Nandigam Suresh,MALE,42,SC,YSRCP,Ceiling Fan,592250,6007,598257,1468671
Andhra Pradesh,Bapatla,Malyadri Sriram,MALE,65,SC,TDP,Bicycle,577403,4789,582192,1468671
Andhra Pradesh,Bapatla,J.d. Seelam,MALE,65,SC,INC,Hand,12941,214,13155,1468671
Andhra Pradesh,Bapatla,Kumar Kattepogu,MALE,53,SC,PPOI,FLUTE,877,8,885,1468671
Andhra Pradesh,Bapatla,Gadde Hari Babu,MALE,40,SC,NPT,Bat,521,9,530,1468671
Andhra Pradesh,Bapatla,China Nageswara Rao Sadhu,MALE,35,SC,MPP,Telephone,463,3,466,1468671
Andhra Pradesh,Bapatla,Thumati Ravi,MALE,46,SC,AlPP,Cot,368,2,370,1468671
Andhra Pradesh,Bapatla,Nuthakki Rama Rao,MALE,71,SC,AINPP,Boat with Man and Sail,600,6,606,1468671
Andhra Pradesh,Bapatla,Gella Nagamalli,FEMALE,34,SC,IND,Basket containing Fruits,651,4,655,1468671
Andhra Pradesh,Bapatla,Golla Baburao,MALE,46,SC,IND,Stumps,1271,5,1276,1468671
Andhra Pradesh,Bapatla,Bussa Nagaraju,MALE,29,SC,IND,CCTV Camera,1943,8,1951,1468671
Andhra Pradesh,Bapatla,Nota,NULL,NULL,NULL,NOTA,NULL,13178,40,13218,1468671
Andhra Pradesh,Ongole,Thoganti Sreenivasulu,MALE,44,GENERAL,BJP,Lotus,7587,642,8229,1556469
Andhra Pradesh,Ongole,Magunta Sreenivasulu Reddy,MALE,65,GENERAL,YSRCP,Ceiling Fan,729344,9858,739202,1556469
Andhra Pradesh,Ongole,Sidda Raghava Rao,MALE,61,GENERAL,TDP,Bicycle,516287,8064,524351,1556469
Andhra Pradesh,Ongole,Dr Sirivella Prasad,MALE,51,GENERAL,INC,Hand,8001,138,8139,1556469
Andhra Pradesh,Ongole,Konda Praveen Kumar,MALE,45,ST,NPT,Bat,805,6,811,1556469
Andhra Pradesh,Ongole,Bellamkonda Saibabu,MALE,49,GENERAL,JnP,Glass Tumbler,29054,325,29379,1556469
Andhra Pradesh,Ongole,Maram Srinivasa Reddy,MALE,27,GENERAL,PRSHP,Helicopter,3253,5,3258,1556469
Andhra Pradesh,Ongole,Venkatesan Baburao,MALE,34,GENERAL,IPBP,Trumpet,1068,5,1073,1556469
Andhra Pradesh,Ongole,Kavuri Venu Babu Naidu,MALE,41,GENERAL,IND,Ganna Kisan,564,1,565,1556469
Andhra Pradesh,Ongole,Billa Chennaiah,MALE,49,SC,IND,BOX,671,2,673,1556469
Andhra Pradesh,Ongole,Madhu Yattapu,MALE,33,GENERAL,IND,Batsman,1160,0,1160,1556469
Andhra Pradesh,Ongole,Mohan Ayyappa,MALE,29,GENERAL,IND,Air Conditioner,1451,0,1451,1556469
Andhra Pradesh,Ongole,Venkatesh Vepuri,MALE,32,GENERAL,IND,Skipping Rope,3208,4,3212,1556469
Andhra Pradesh,Ongole,Nota,NULL,NULL,NULL,NOTA,NULL,20843,22,20865,1556469
Andhra Pradesh,Nandyal,Adinarayana Inty,MALE,67,GENERAL,BJP,Lotus,8794,272,9066,1603220
